technology,vom,carrier,start_up_cost,min_up_time,ramp_up_limit,ramp_down_limit
Solar Photovoltaic,0,solar,0,0,0,0
Natural Gas Fired Combined Cycle,2.87,gas,80,6,0.5,0.5
Natural Gas Fired Combustion Turbine,5.06,gas,75,1,0.5,0.5
Onshore Wind Turbine,0,wind,0,0,0,0
Conventional Steam Coal,5.06,coal,120,12,0.5,0.5
Petroleum Liquids,5.29,dfo,60,1,0.5,0.5
Landfill Gas,5.29,gas,60,6,0.5,0.5
Conventional Hydroelectric,0,hydro,0,0,0,0
Batteries,0,mwh,0,0,0,0
Natural Gas Steam Turbine,2.1,gas,80,6,0.5,0.5
Natural Gas Internal Combustion Engine,6.4,gas,60,1,0.5,0.5
All Other,6.4,other,0,6,0.5,0.5
Nuclear,0,nuclear,0,0,0,0
Petroleum Coke,5.06,coal,120,12,0.5,0.5
Other Waste Biomass,5.44,biomass,80,6,0.5,0.5
Wood/Wood Waste Biomass,5.44,biomass,80,6,0.5,0.5
Flywheels,0,mwh,0,0,0,0
